Date;Q_liq, m3/day;Q_oil, t/day;WC, %;Cum. oil, t*10^3
2024-12-01;0,0;0,0;0,0;0,0
2025-01-01;200,0;85,8;50,0;2,57
2025-02-01;179,04;65,13;57,6;4,53
2025-03-01;162,39;50,27;63,92;6,04
2025-04-01;149,16;39,46;69,17;7,22
2025-05-01;138,65;31,49;73,53;8,16
2025-06-01;130,3;25,53;77,16;8,93
2025-07-01;123,66;21,04;80,17;9,56
2025-08-01;118,39;17,6;82,67;10,09
2025-09-01;114,2;14,93;84,76;10,54
2025-10-01;110,87;12,85;86,49;10,92
2025-11-01;108,23;11,22;87,92;11,26
2025-12-01;106,13;9,91;89,12;11,56
2026-01-01;104,46;8,86;90,11;11,82
2026-02-01;103,13;8,02;90,94;12,06
2026-03-01;102,08;7,34;91,62;12,28
2026-04-01;101,24;6,78;92,19;12,49
2026-05-01;100,57;6,32;92,67;12,68
2026-06-01;100,04;5,96;93,06;12,86
2026-07-01;99,62;5,65;93,39;13,02
2026-08-01;99,29;5,4;93,66;13,19
2026-09-01;99,03;5,19;93,89;13,34
2026-10-01;98,81;5,02;94,08;13,49
2026-11-01;98,65;4,88;94,23;13,64
2026-12-01;98,51;4,77;94,36;13,78
2027-01-01;98,41;4,67;94,47;13,92
2027-02-01;98,32;4,59;94,56;14,06
2027-03-01;98,26;4,53;94,63;14,2
2027-04-01;98,2;4,47;94,7;14,33
2027-05-01;98,16;4,42;94,75;14,46
2027-06-01;98,13;4,39;94,79;14,59
2027-07-01;98,1;4,35;94,83;14,73
2027-08-01;98,08;4,33;94,85;14,86
2027-09-01;98,06;4,31;94,88;14,98
2027-10-01;98,05;4,29;94,9;15,11
2027-11-01;98,04;4,27;94,92;15,24
2027-12-01;98,03;4,26;94,93;15,37
2028-01-01;98,03;4,26;94,94;15,5
2028-02-01;98,02;4,25;94,95;15,62
2028-03-01;98,02;4,24;94,96;15,75
2028-04-01;98,01;4,23;94,97;15,88
2028-05-01;98,01;4,23;94,97;16,01
2028-06-01;98,01;4,22;94,98;16,13
2028-07-01;98,01;4,22;94,98;16,26
2028-08-01;98,01;4,22;94,98;16,39
2028-09-01;98,0;4,21;94,99;16,51
2028-10-01;98,0;4,21;94,99;16,64
2028-11-01;98,0;4,21;94,99;16,76
2028-12-01;98,0;4,21;94,99;16,89
2029-01-01;98,0;4,21;94,99;17,02
2029-02-01;98,0;4,21;94,99;17,14
2029-03-01;98,0;4,2;95,0;17,27
2029-04-01;98,0;4,2;95,0;17,39
2029-05-01;98,0;4,2;95,0;17,52
2029-06-01;98,0;4,2;95,0;17,65
2029-07-01;98,0;4,2;95,0;17,77
2029-08-01;98,0;4,2;95,0;17,9
2029-09-01;98,0;4,2;95,0;18,02
2029-10-01;98,0;4,2;95,0;18,15
2029-11-01;98,0;4,2;95,0;18,28
2029-12-01;98,0;4,2;95,0;18,4
2030-01-01;98,0;4,2;95,0;18,53
2030-02-01;98,0;4,2;95,0;18,65
2030-03-01;98,0;4,2;95,0;18,78
2030-04-01;98,0;4,2;95,0;18,91
2030-05-01;98,0;4,2;95,0;19,03
2030-06-01;98,0;4,2;95,0;19,16
2030-07-01;98,0;4,2;95,0;19,28
2030-08-01;98,0;4,2;95,0;19,41
2030-09-01;98,0;4,2;95,0;19,54
2030-10-01;98,0;4,2;95,0;19,66
2030-11-01;98,0;4,2;95,0;19,79
2030-12-01;98,0;4,2;95,0;19,91
2031-01-01;98,0;4,2;95,0;20,04
2031-02-01;98,0;4,2;95,0;20,17
2031-03-01;98,0;4,2;95,0;20,29
2031-04-01;98,0;4,2;95,0;20,42
2031-05-01;98,0;4,2;95,0;20,54
2031-06-01;98,0;4,2;95,0;20,67
2031-07-01;98,0;4,2;95,0;20,8
2031-08-01;98,0;4,2;95,0;20,92
2031-09-01;98,0;4,2;95,0;21,05
2031-10-01;98,0;4,2;95,0;21,17
2031-11-01;98,0;4,2;95,0;21,3
2031-12-01;98,0;4,2;95,0;21,43
2032-01-01;98,0;4,2;95,0;21,55
2032-02-01;98,0;4,2;95,0;21,68
2032-03-01;98,0;4,2;95,0;21,8
2032-04-01;98,0;4,2;95,0;21,93
2032-05-01;98,0;4,2;95,0;22,06
2032-06-01;98,0;4,2;95,0;22,18
2032-07-01;98,0;4,2;95,0;22,31
2032-08-01;98,0;4,2;95,0;22,43
2032-09-01;98,0;4,2;95,0;22,56
2032-10-01;98,0;4,2;95,0;22,69
2032-11-01;98,0;4,2;95,0;22,81
2032-12-01;98,0;4,2;95,0;22,94
2033-01-01;98,0;4,2;95,0;23,06
2033-02-01;98,0;4,2;95,0;23,19
2033-03-01;98,0;4,2;95,0;23,32
2033-04-01;98,0;4,2;95,0;23,44
2033-05-01;98,0;4,2;95,0;23,57
2033-06-01;98,0;4,2;95,0;23,69
2033-07-01;98,0;4,2;95,0;23,82
2033-08-01;98,0;4,2;95,0;23,95
2033-09-01;98,0;4,2;95,0;24,07
2033-10-01;98,0;4,2;95,0;24,2
2033-11-01;98,0;4,2;95,0;24,32
2033-12-01;98,0;4,2;95,0;24,45
2034-01-01;98,0;4,2;95,0;24,58
2034-02-01;98,0;4,2;95,0;24,7
2034-03-01;98,0;4,2;95,0;24,83
2034-04-01;98,0;4,2;95,0;24,95
2034-05-01;98,0;4,2;95,0;25,08
2034-06-01;98,0;4,2;95,0;25,21
2034-07-01;98,0;4,2;95,0;25,33
2034-08-01;98,0;4,2;95,0;25,46
2034-09-01;98,0;4,2;95,0;25,58
2034-10-01;98,0;4,2;95,0;25,71
2034-11-01;98,0;4,2;95,0;25,84
2034-12-01;98,0;4,2;95,0;25,96
2035-01-01;98,0;4,2;95,0;26,09
2035-02-01;98,0;4,2;95,0;26,21
2035-03-01;98,0;4,2;95,0;26,34
2035-04-01;98,0;4,2;95,0;26,47
2035-05-01;98,0;4,2;95,0;26,59
2035-06-01;98,0;4,2;95,0;26,72
2035-07-01;98,0;4,2;95,0;26,84
2035-08-01;98,0;4,2;95,0;26,97
2035-09-01;98,0;4,2;95,0;27,1
2035-10-01;98,0;4,2;95,0;27,22
2035-11-01;98,0;4,2;95,0;27,35
2035-12-01;98,0;4,2;95,0;27,47
2036-01-01;98,0;4,2;95,0;27,6
2036-02-01;98,0;4,2;95,0;27,73
2036-03-01;98,0;4,2;95,0;27,85
2036-04-01;98,0;4,2;95,0;27,98
2036-05-01;98,0;4,2;95,0;28,1
2036-06-01;98,0;4,2;95,0;28,23
2036-07-01;98,0;4,2;95,0;28,36
2036-08-01;98,0;4,2;95,0;28,48
2036-09-01;98,0;4,2;95,0;28,61
2036-10-01;98,0;4,2;95,0;28,73
2036-11-01;98,0;4,2;95,0;28,86
2036-12-01;98,0;4,2;95,0;28,99
2037-01-01;98,0;4,2;95,0;29,11
2037-02-01;98,0;4,2;95,0;29,24
2037-03-01;98,0;4,2;95,0;29,36
2037-04-01;98,0;4,2;95,0;29,49
2037-05-01;98,0;4,2;95,0;29,62
2037-06-01;98,0;4,2;95,0;29,74
2037-07-01;98,0;4,2;95,0;29,87
2037-08-01;98,0;4,2;95,0;29,99
2037-09-01;98,0;4,2;95,0;30,12
2037-10-01;98,0;4,2;95,0;30,25
2037-11-01;98,0;4,2;95,0;30,37
2037-12-01;98,0;4,2;95,0;30,5
2038-01-01;98,0;4,2;95,0;30,62
2038-02-01;98,0;4,2;95,0;30,75
2038-03-01;98,0;4,2;95,0;30,88
2038-04-01;98,0;4,2;95,0;31,0
2038-05-01;98,0;4,2;95,0;31,13
2038-06-01;98,0;4,2;95,0;31,25
2038-07-01;98,0;4,2;95,0;31,38
2038-08-01;98,0;4,2;95,0;31,51
2038-09-01;98,0;4,2;95,0;31,63
2038-10-01;98,0;4,2;95,0;31,76
2038-11-01;98,0;4,2;95,0;31,88
2038-12-01;98,0;4,2;95,0;32,01
2039-01-01;98,0;4,2;95,0;32,14
2039-02-01;98,0;4,2;95,0;32,26
2039-03-01;98,0;4,2;95,0;32,39
2039-04-01;98,0;4,2;95,0;32,51
2039-05-01;98,0;4,2;95,0;32,64
2039-06-01;98,0;4,2;95,0;32,77
2039-07-01;98,0;4,2;95,0;32,89
2039-08-01;98,0;4,2;95,0;33,02
2039-09-01;98,0;4,2;95,0;33,14
2039-10-01;98,0;4,2;95,0;33,27
2039-11-01;98,0;4,2;95,0;33,4
2039-12-01;98,0;4,2;95,0;33,52
2040-01-01;98,0;4,2;95,0;33,65
2040-02-01;98,0;4,2;95,0;33,77
2040-03-01;98,0;4,2;95,0;33,9
2040-04-01;98,0;4,2;95,0;34,03
2040-05-01;98,0;4,2;95,0;34,15
2040-06-01;98,0;4,2;95,0;34,28
2040-07-01;98,0;4,2;95,0;34,4
2040-08-01;98,0;4,2;95,0;34,53
2040-09-01;98,0;4,2;95,0;34,66
2040-10-01;98,0;4,2;95,0;34,78
2040-11-01;98,0;4,2;95,0;34,91
2040-12-01;98,0;4,2;95,0;35,03
2041-01-01;98,0;4,2;95,0;35,16
2041-02-01;98,0;4,2;95,0;35,29
2041-03-01;98,0;4,2;95,0;35,41
2041-04-01;98,0;4,2;95,0;35,54
2041-05-01;98,0;4,2;95,0;35,66
2041-06-01;98,0;4,2;95,0;35,79
2041-07-01;98,0;4,2;95,0;35,92
2041-08-01;98,0;4,2;95,0;36,04
2041-09-01;98,0;4,2;95,0;36,17
2041-10-01;98,0;4,2;95,0;36,29
2041-11-01;98,0;4,2;95,0;36,42
2041-12-01;98,0;4,2;95,0;36,55
2042-01-01;98,0;4,2;95,0;36,67
2042-02-01;98,0;4,2;95,0;36,8
2042-03-01;98,0;4,2;95,0;36,92
2042-04-01;98,0;4,2;95,0;37,05
2042-05-01;98,0;4,2;95,0;37,18
2042-06-01;98,0;4,2;95,0;37,3
2042-07-01;98,0;4,2;95,0;37,43
2042-08-01;98,0;4,2;95,0;37,55
2042-09-01;98,0;4,2;95,0;37,68
2042-10-01;98,0;4,2;95,0;37,81
2042-11-01;98,0;4,2;95,0;37,93
2042-12-01;98,0;4,2;95,0;38,06
2043-01-01;98,0;4,2;95,0;38,18
2043-02-01;98,0;4,2;95,0;38,31
2043-03-01;98,0;4,2;95,0;38,44
2043-04-01;98,0;4,2;95,0;38,56
2043-05-01;98,0;4,2;95,0;38,69
2043-06-01;98,0;4,2;95,0;38,81
2043-07-01;98,0;4,2;95,0;38,94
2043-08-01;98,0;4,2;95,0;39,07
2043-09-01;98,0;4,2;95,0;39,19
2043-10-01;98,0;4,2;95,0;39,32
2043-11-01;98,0;4,2;95,0;39,44
2043-12-01;98,0;4,2;95,0;39,57
2044-01-01;98,0;4,2;95,0;39,7
2044-02-01;98,0;4,2;95,0;39,82
2044-03-01;98,0;4,2;95,0;39,95
2044-04-01;98,0;4,2;95,0;40,07
2044-05-01;98,0;4,2;95,0;40,2
2044-06-01;98,0;4,2;95,0;40,33
2044-07-01;98,0;4,2;95,0;40,45
2044-08-01;98,0;4,2;95,0;40,58
2044-09-01;98,0;4,2;95,0;40,7
2044-10-01;98,0;4,2;95,0;40,83
2044-11-01;98,0;4,2;95,0;40,96
2044-12-01;98,0;4,2;95,0;41,08
2045-01-01;98,0;4,2;95,0;41,21
2045-02-01;98,0;4,2;95,0;41,33
2045-03-01;98,0;4,2;95,0;41,46
2045-04-01;98,0;4,2;95,0;41,59
2045-05-01;98,0;4,2;95,0;41,71
2045-06-01;98,0;4,2;95,0;41,84
2045-07-01;98,0;4,2;95,0;41,96
2045-08-01;98,0;4,2;95,0;42,09
2045-09-01;98,0;4,2;95,0;42,22
2045-10-01;98,0;4,2;95,0;42,34
2045-11-01;98,0;4,2;95,0;42,47
2045-12-01;98,0;4,2;95,0;42,59
2046-01-01;98,0;4,2;95,0;42,72
2046-02-01;98,0;4,2;95,0;42,85
2046-03-01;98,0;4,2;95,0;42,97
2046-04-01;98,0;4,2;95,0;43,1
2046-05-01;98,0;4,2;95,0;43,22
2046-06-01;98,0;4,2;95,0;43,35
2046-07-01;98,0;4,2;95,0;43,48
2046-08-01;98,0;4,2;95,0;43,6
2046-09-01;98,0;4,2;95,0;43,73
2046-10-01;98,0;4,2;95,0;43,85
2046-11-01;98,0;4,2;95,0;43,98
2046-12-01;98,0;4,2;95,0;44,11
2047-01-01;98,0;4,2;95,0;44,23
2047-02-01;98,0;4,2;95,0;44,36
2047-03-01;98,0;4,2;95,0;44,48
2047-04-01;98,0;4,2;95,0;44,61
2047-05-01;98,0;4,2;95,0;44,74
2047-06-01;98,0;4,2;95,0;44,86
2047-07-01;98,0;4,2;95,0;44,99
2047-08-01;98,0;4,2;95,0;45,11
2047-09-01;98,0;4,2;95,0;45,24
2047-10-01;98,0;4,2;95,0;45,37
2047-11-01;98,0;4,2;95,0;45,49
2047-12-01;98,0;4,2;95,0;45,62
2048-01-01;98,0;4,2;95,0;45,74
2048-02-01;98,0;4,2;95,0;45,87
2048-03-01;98,0;4,2;95,0;46,0
2048-04-01;98,0;4,2;95,0;46,12
2048-05-01;98,0;4,2;95,0;46,25
2048-06-01;98,0;4,2;95,0;46,37
2048-07-01;98,0;4,2;95,0;46,5
2048-08-01;98,0;4,2;95,0;46,63
2048-09-01;98,0;4,2;95,0;46,75
2048-10-01;98,0;4,2;95,0;46,88
2048-11-01;98,0;4,2;95,0;47,0
2048-12-01;98,0;4,2;95,0;47,13
2049-01-01;98,0;4,2;95,0;47,26
2049-02-01;98,0;4,2;95,0;47,38
2049-03-01;98,0;4,2;95,0;47,51
2049-04-01;98,0;4,2;95,0;47,63
2049-05-01;98,0;4,2;95,0;47,76
2049-06-01;98,0;4,2;95,0;47,89
2049-07-01;98,0;4,2;95,0;48,01
2049-08-01;98,0;4,2;95,0;48,14
2049-09-01;98,0;4,2;95,0;48,26
2049-10-01;98,0;4,2;95,0;48,39
2049-11-01;98,0;4,2;95,0;48,52
2049-12-01;98,0;4,2;95,0;48,64
